name,smiles,mw,logP,fup,rbp,clint_3a4_uL_min_pmol,peff_cm_s
duloxetine,CNCC(Oc1cccc2ccccc12)c1cccs1,297.4,4.07,0.03,0.80,4.00,0.00025
bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,239.7,3.56,0.15,0.80,8.00,0.00025
mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,265.4,2.90,0.15,0.80,10.0,0.00023
amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,277.4,4.92,0.05,0.80,5.00,0.00028
nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,263.4,4.43,0.08,0.80,6.00,0.00026
rivaroxaban,O=C1OC[C@@H](n2cc(-c3ccc(N4CCOCC4=O)cc3)nn2)c2ccc(Cl)cc2N1,435.9,0.38,0.07,0.80,3.00,0.00010
apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCOCC4)cc2)CC3)cc1,459.5,1.26,0.13,0.80,1.50,0.00008
dabigatran,CN1C(=O)N(CCC(=O)OCC)c2cc(c3ccc(NC(=N)N)cc3)ccc21,471.5,0.37,0.65,0.80,0.10,0.00005
aspirin,CC(=O)Oc1ccccc1C(=O)O,180.2,1.19,0.90,0.90,0.10,0.00020
edoxaban,CC(C)N1CCC(NC(=O)C2CC(NC(=O)c3cnc(Cl)s3)CN2C(=O)C(NC(=O)C(O)C2CCCCC2)c2ccc(Cl)cc2)CC1,548.1,1.36,0.55,0.80,0.50,0.00007
naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,230.3,3.18,0.003,0.72,0.30,0.00020
diclofenac,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,296.2,4.51,0.005,0.72,2.50,0.00020
meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,351.4,0.10,0.006,0.72,1.20,0.00015
indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.8,4.27,0.004,0.72,0.50,0.00018
acetaminophen,CC(=O)Nc1ccc(O)cc1,151.2,0.46,0.83,0.90,0.20,0.00015
tramadol,COc1cccc(C2(O)CCCCC2CN(C)C)c1,263.4,2.77,0.80,0.80,1.50,0.00020
ketorolac,OC(=O)C1CCc2cccc(-c3ccncc3)c2N1,255.3,1.43,0.006,0.72,0.20,0.00012
piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,331.4,1.86,0.005,0.72,0.30,0.00013
phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.3,2.47,0.10,0.78,0.50,0.00015
levetiracetam,CCC(C(N)=O)N1CCCC1=O,170.2,-0.64,0.90,0.90,0.01,0.00005
valproic_acid,CCCC(CCC)C(=O)O,144.2,2.75,0.07,0.90,0.30,0.00015
lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,256.1,0.97,0.45,0.90,0.20,0.00013
topiramate,OCC1(OS(N)(=O)=O)OC2COC3(CCCCC3C)OC2C1OC(C)(C)C,339.4,-0.22,0.85,0.90,0.20,0.00008
clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,315.7,2.41,0.15,0.72,1.00,0.00018
gabapentin,NCC1(CC(=O)O)CCCCC1,171.2,-1.10,0.97,0.90,0.01,0.00005
pregabalin,CC(C)C[C@H](CN)CC(=O)O,159.2,-1.35,1.00,0.90,0.01,0.00005
memantine,CC12CC3CC(N)(C1)CC(C)(C3)C2,179.3,2.09,0.55,0.90,0.05,0.00020
itraconazole,CC(c1ncn(c1)-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1)OC,705.6,5.66,0.005,0.80,12.0,0.00012
voriconazole,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1,349.3,1.27,0.42,0.80,3.00,0.00015
posaconazole,OCC(Oc1ccc(-c2ccn(-c3ccc(N4CCN(c5ccc(OCC6COC(c7ccc(F)cc7F)(c7ccc(Cl)cc7Cl)O6)cc5)CC4)cc3)n2)cc1)CC,700.8,3.72,0.02,0.80,1.50,0.00008
cyclosporine,CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(C(C)C)NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O,1202.6,2.92,0.07,2.40,5.00,0.00008
tacrolimus,COC1CC(=O)C=C(C)/C=C(\C)C[C@@H](CC(=O)[C@H](CC(C=C1OC)=O)O[C@@H]1O[C@@H](C)[C@@H](O)[C@H](OC)C1)[C@@H]1C[C@@H](O)C(\C=C\C=C(/C)[C@@H](OC)C(=O)[C@@H](C)[C@@H](O)C(\C)=C\[C@@H](CC=O)C(=O)O1)=O,804.0,3.96,0.01,12.0,8.00,0.00009
sirolimus,COC1CC(O)CC(C)CC(OC)C(=O)C(OC)CC(C=CC=CC=CC(OC2OC(C)CC(O)C2OC)C(C)CC2CC(=O)C(C=C(C)CC(O)CC(C=CC1C)OC)O2)C,914.2,4.33,0.08,6.50,12.0,0.00007
imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6,3.74,0.07,0.80,3.50,0.00015
gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.9,3.16,0.10,0.80,5.00,0.00015
erlotinib,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,393.4,2.21,0.06,0.80,4.00,0.00013
tamoxifen,CCC(=C(c1ccccc1)c1ccccc1)c1ccc(OCCN(C)C)cc1,371.5,6.30,0.01,0.80,8.00,0.00025
ritonavir,CC(C)[C@H](NC(=O)N(C)Cc1csc(C(C)C)n1)C(=O)N[C@@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,720.9,4.14,0.02,0.80,20.0,0.00005
lopinavir,CC(C)c1nc(CN(C)C(=O)NC(CC(O)C(Cc2ccccc2)NC(=O)COc2c(C)cccc2C)Cc2ccccc2)cs1,628.8,4.89,0.02,0.80,18.0,0.00004
efavirenz,OC1(C#CC2CC2)NC(=O)Oc2ccc(Cl)cc21,315.7,4.60,0.005,0.80,7.00,0.00020
oseltamivir,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,312.4,0.36,0.58,0.80,0.10,0.00010
tenofovir,Nc1ncnc2c1ncn2[C@@H](CO)OCP(=O)(O)O,287.2,-1.02,0.99,0.90,0.01,0.00002
emtricitabine,Nc1nc(=O)n(C2CSC(CO)O2)cc1F,247.2,-1.40,0.93,0.90,0.01,0.00003
nirmatrelvir,CC1(C)C2CCC1(CC(=O)NC(CC(=O)C(F)(F)F)C#N)C(NC(=O)C1CC1)C2,499.5,1.24,0.31,0.80,3.00,0.00008
loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3ncccc32)CC1,382.9,4.02,0.025,0.80,7.00,0.00022
cetirizine,OC(=O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,388.9,1.70,0.06,0.80,0.50,0.00008
fexofenadine,CC(C)(c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1)C(=O)O,501.7,2.18,0.27,0.80,0.30,0.00005
diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,255.4,3.27,0.24,0.80,4.00,0.00020
chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,274.8,3.38,0.28,0.80,5.00,0.00020
furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,330.7,2.03,0.01,0.72,0.20,0.00005
hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,297.7,-0.07,0.58,0.90,0.05,0.00005
spironolactone,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CSC,416.6,2.76,0.02,0.80,8.00,0.00015
torsemide,CC(C)NC(=O)NS(=O)(=O)c1cc(C)c(NC2CCCC2)cc1,348.4,1.24,0.015,0.80,2.00,0.00008
chlorthalidone,NS(=O)(=O)c1ccc(C2(O)NC(=O)c3ccccc32)cc1Cl,338.8,0.80,0.25,0.80,0.10,0.00007
olanzapine,Cc1cc2c(s1)Nc1ccccc1N2C1=NCCN1C,312.4,2.84,0.07,0.80,5.00,0.00023
risperidone,Cc1nc2n(CC3CCN(CCc4noc5cc(F)ccc45)CC3)c(=O)c3ccccc3c2[nH]1,410.5,3.27,0.10,0.80,6.00,0.00020
quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,383.5,2.81,0.17,0.80,8.00,0.00020
aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4OCC5)CC3)cc2N1,448.4,3.56,0.01,0.80,4.50,0.00020
haloperidol,OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,375.9,3.58,0.08,0.80,3.00,0.00022
clozapine,CN1CCN(C2=Nc3ccccc3Nc3cc(Cl)ccc32)CC1,326.8,3.23,0.05,0.80,8.00,0.00023
ziprasidone,O=c1cc(-n2ccc(CCN3CCN(c4ccc(Cl)cc4)CC3)c2)[nH]c2ccccc12,412.9,3.24,0.02,0.80,5.00,0.00022
paliperidone,OC1(c2noc3cc(F)ccc23)CCN(CCCC2=NNC(=O)c3ccccc32)CC1,426.5,1.12,0.26,0.80,0.50,0.00012
digoxin,C[C@@H]1O[C@@H](O[C@@H]2C[C@H](O)[C@@H](O[C@@H]3C[C@H](O)[C@@H](O[C@@H]4C[C@H](O)[C@@H](OC5CC(CO)=CC(=O)O5)C(C)O4)C(C)O3)C(C)O2)C[C@H](O)[C@H]1O,780.9,1.26,0.75,0.90,0.10,0.00008
colchicine,COc1cc2c(c(OC)c1OC)CC(NC(C)=O)C1CC(=O)C(OC)=CC=C12,399.4,1.85,0.61,0.80,8.00,0.00015
quinidine,COc1ccc2nccc([C@@H](O)[C@@H]3CC4CCN3C=C4)c2c1,324.4,3.44,0.20,0.80,5.00,0.00020
phenobarbital,O=C1NC(=O)C(CC)(c2ccccc2)C(=O)N1,232.2,1.47,0.55,0.80,0.40,0.00010
dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.5,1.83,0.26,0.80,2.00,0.00015
prednisolone,C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,360.5,1.57,0.30,0.85,1.50,0.00015
methylprednisolone,CC1CC2C3CCC(O)(C(=O)CO)C3(C)CC(O)C2C2(C)C=CC(=O)CC12,374.5,1.82,0.24,0.80,2.50,0.00018
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,336.5,4.05,0.16,0.80,9.00,0.00030
morphine,Oc1ccc2CC3N(C)CCC4=CC(O)C(c1c24)O3,285.3,0.89,0.65,0.80,0.50,0.00008
oxycodone,COC1=CC=C2CC3N(C)CCC4(CCCC(=O)C14)C3(O)O2,315.4,0.65,0.55,0.80,1.50,0.00012
hydrocodone,COc1ccc2CC3N(C)CCC4(CCCC(=O)c1c24)C3O,299.4,1.43,0.74,0.80,2.00,0.00015
buprenorphine,,467.6,4.98,0.04,0.80,8.00,0.00020
naloxone,OC1C2CC3=CC(=O)CCC3(CC1OC2=O)N1CC2CCC1C2,327.4,1.46,0.54,0.80,1.50,0.00015
lithium_carbonate,[Li+].[Li+].[O-]C([O-])=O,73.9,-5.00,1.00,1.00,0.01,0.00001
methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,309.5,5.01,0.14,0.80,6.00,0.00030
theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,180.2,-0.02,0.60,0.72,0.20,0.00010
allopurinol,O=c1[nH]cnc2[nH]ncc12,136.1,-1.10,0.97,0.90,0.01,0.00007
febuxostat,CC(C)COc1cc(C#N)c(-c2cc(C)on2)cc1C(=O)O,316.4,1.69,0.006,0.80,1.50,0.00013
