name	smiles	dose_mg	cmax_obs	cmax_pred_original	clint_original	clint_deconv	cmax_at_deconv	status	error_msg
calcifediol (25-hydroxyvitamin d3)	C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12	0.9	0.0231	0.002298	68.2696			no_root	f(lo)=-0.435, f(hi)=-1.766 — same sign
exemestane	C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12	25.0	0.0128506731341202	0.117263	38.8027			no_root	f(lo)=1.554, f(hi)=0.364 — same sign
Evobrutinib	C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1	25.0	0.0699	0.023387	24.4195	0.6657	0.069896	success	
zanubrutinib	C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1	20.0	0.0479999999999999	0.039234	17.2622	7.0056	0.048048	success	
ibrutinib	C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	140.0	0.0086599999999999	0.037051	44.8984			no_root	f(lo)=1.498, f(hi)=0.430 — same sign
sotorasib	C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1	360.0	6.13	1.208561	18.9285			no_root	f(lo)=-0.365, f(hi)=-1.524 — same sign
futibatinib	C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1	20.0	0.140415894716479	0.246852	7.3689	17.5089	0.140478	success	
ritlecitinib	C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C	50.0	0.2971	0.096528	10.8737	0.9265	0.296662	success	
mobocertinib	C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	20.0	0.0031999999999999	0.086907	43.3550			no_root	f(lo)=1.656, f(hi)=0.280 — same sign
osimertinib	C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	20.0	0.01579	0.029720	32.1336	56.7159	0.015780	success	
Lazertinib	C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1	240.0	0.3860854265573877	2.003838	32.4888	511.2543	0.386195	success	
vigabatrin	C=CC(N)CCC(=O)O	500.0	17.999999999999996	1.395930	6.6769			no_root	f(lo)=-0.662, f(hi)=-1.803 — same sign
cefdinir	C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1	100.0	0.88	0.114849	4.4415			no_root	f(lo)=-0.414, f(hi)=-1.894 — same sign
cefixime	C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1	50.0	0.69	0.059398	3.5102			no_root	f(lo)=-0.677, f(hi)=-2.181 — same sign
secobarbital	C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O	244.2	2.01	0.948992	16.0878	2.6543	2.010635	success	
naloxegol	C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OCCOCCOCCOCCOCCOCCOCCOC)CC[C@@]3(O)[C@H]1C5	8.0	0.0094999999999999	0.006507	33.0374	7.8385	0.009502	success	
cabergoline	C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	0.5	3.299999999999997e-05	0.000153	45.5074			no_root	f(lo)=1.575, f(hi)=0.477 — same sign
almitrine	C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1	25.0	0.0389	0.100344	21.2563	83.0373	0.038903	success	
oxprenolol	C=CCOc1ccccc1OCC(O)CNC(C)C	20.0	0.1774399999999999	0.044961	136.1115	3.3370	0.177437	success	
tacrolimus	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	2.0	0.00397	0.004408	120.2023	90.1485	0.003969	success	
asunaprevir	C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1	10.0	0.00096	0.135079	13.7797			no_root	f(lo)=2.294, f(hi)=0.532 — same sign
quinidine	C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	0.1	8.2e-05	0.000365	24.5748	388.2963	0.000082	success	
quinine	C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12	300.0	1.6	0.710513	24.5748	3.7452	1.600409	success	
lefamulin	C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)C(C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O	600.0	1.56	1.270980	54.9865	24.2026	1.560399	success	
