smiles,ik14,clint_hep,source
CC(=O)c1cc2ccc(O)cc2oc1=O,BRQZHMHHZLRXOO,150.0,tdc_hep
CC(=O)c1cn(Cc2ccccc2)c(=O)n(Cc2ccc(F)cc2)c1=O,ZEZQMOYXCIVDNR,150.0,tdc_hep
CC(=O)c1ncccc1NC(=O)[C@H]1CC[C@H](N2C(=O)[C@@H]3[C@@H]4CC[C@@H](C4)[C@@H]3C2=O)CC1,OETCLXZXWZTAOY,150.0,tdc_hep
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,MDKGKXOCJGEUJW,12.885,tdc_hep
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,DKYWVDODHFEZIM,28.35,tdc_hep
CC(C(=O)OC1CC[N+](C)(C)CC1)(c1ccccc1)N1CCC(F)(F)CC1,VISHRZZLGOYWIV,38.0,tdc_hep
CC(C(=O)O[C@@H]1CC[N+](C)(C)C1)(c1ccccc1)C1CCCC1,QWTPESUAWMGMNI,119.0,tdc_hep
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,RWTNPBWLLIMQHL,3.0,tdc_hep
CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,MVTQDUOTCXKWRH,3.31,tdc_hep
CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,RAZOFRCGTLUGNK,7.08,tdc_hep
CC(C)(C)NC(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,VZEDXJXJWSWRFK,33.88,tdc_hep
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CBVCZFGXHXORBI,31.965000000000003,tdc_hep
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,QWAXKHKRTORLEM,87.85,tdc_hep
CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,PFWVGKROPKKEDW,6.0,tdc_hep
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,BLJRIMJGRPQVNF,77.285,tdc_hep
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,NDAUXUAQIAJITI,12.0,tdc_hep
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1,YKJGGEMOMSRCDT,20.0,tdc_hep
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1,PVOKBUZWKYUCKF,3.895,tdc_hep
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1,YYHMQTWHCVOTAO,4.195,tdc_hep
CC(C)(C)S(=O)(=O)N[C@H]1CC[C@H](C(=O)Nc2ccc(C(F)(F)F)cn2)CC1,WGEWUYACXPEFPO,5.75,tdc_hep
CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1,VGEXRDWWPSGZDH,47.955000000000005,tdc_hep
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,GUGOEEXESWIERI,60.885,tdc_hep
CC(C)(C)c1ccc2c(c1)CC[C@H]2NC(=O)Nc1cccc2[nH]ncc12,TYOYXJNGINZFET,20.42,tdc_hep
CC(C)(C)c1csc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)n1,JRNCUKITPWCDPD,150.0,tdc_hep
CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2nc(O)sc12,SAGQYGYKRVWICY,93.03,tdc_hep
CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,UTDWJMBRBOKFJV,5.88,tdc_hep
CC(C)(Cc1cccc(CC(=O)NCc2cccc(-c3ccc(O)cc3)c2)c1)NC[C@H](O)c1ccc(O)c(NS(C)(=O)=O)c1,YPHDIMUXXABSSO,37.0,tdc_hep
CC(C)(N)C(=O)N[C@H](COCc1ccc(F)cc1F)C(=O)N1CCC2=NN(CC(F)(F)F)C(=O)[C@]2(Cc2ccccn2)C1,QUAJHCSLZMRTTM,15.49,tdc_hep
CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12,UMUPQWIGCOZEOY,14.45,tdc_hep
CC(C)(O)c1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1,GQWZYHWBIWTFGP,4.79,tdc_hep
CC(C)=CCC[N+]12CCC(CC1)[C@@H](OC(=O)[C@](C)(c1ccccc1)N1CCCCC1)C2,UZEVBPRKTBGQEP,101.0,tdc_hep
CC(C)C(=O)Nc1nc(-c2ccccn2)cc2ccccc12,MMCKTCYZCHRPQJ,61.66,tdc_hep
CC(C)CCOc1ccc(N)cc1,LXWFHMREWLOKLM,150.0,tdc_hep
CC(C)CNc1nc(N2CCN(CC3CCCOC3)CC2)ncc1C(=O)NCc1ccccc1,PPANZCQXFYBGHN,89.13,tdc_hep
CC(C)COc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,JNRPKMKRMUTLDI,150.0,tdc_hep
CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12,LOSWDIGGZMWFHV,13.49,tdc_hep
CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12,XCVNKDBFHMYYDO,20.42,tdc_hep
CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2F)nc2nc(N)sc12,PQYZCJMYDYNLKP,30.9,tdc_hep
CC(C)C[C@H](N)C(=O)NC[C@H](O)C[C@@H](N)CC(=O)NN(C)CC(=O)O,BRLOZZKKEWGIEL,3.0,tdc_hep
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,WXRGFPHDRFQODR,33.88,tdc_hep
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,MTLMDZJUGDUTCP,26.92,tdc_hep
CC(C)N(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,BKUBTORKXDPOIU,99.0,tdc_hep
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,XHOJAWVAWFHGHL,28.18,tdc_hep
CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,MCIDWGZGWVSZMK,9.07,tdc_hep
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,NWIUTZDMDHAVTP,7.5,tdc_hep
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,VHYCDWMUTMEGQY,25.12,tdc_hep
CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,GRZXWCHAXNAUHY,3.0,tdc_hep
CC(C)Nc1nc(NCc2ccccc2)c2sccc2n1,ZVUXQIAPOAVHSE,144.54,tdc_hep
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,YMTINGFKWWXKFG,54.0,tdc_hep
CC(C)Oc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,BHXYWMKHQZDQLR,87.1,tdc_hep
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,SFBODOKJTYAUCM,109.65,tdc_hep
CC(C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,SIJVOCXXIKNHDX,20.89,tdc_hep
CC(C)[C@H](C(=O)Nc1nccs1)c1ccc(Cl)cc1,AZYDQCGCBQYFSE,12.02,tdc_hep
CC(C)[C@H]1C(=O)N[C@H](CO)Cc2ccccc2N1C,OBEJTRHPRSRHSZ,144.54,tdc_hep
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,IFRGXKKQHBVPCQ,23.44,tdc_hep
CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,HEQDZPHDVAOBLN,16.6,tdc_hep
CC(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,INBWFQMVGLHKHO,109.65,tdc_hep
CC(C)c1ccc(Sc2cnc(O)c(C(=O)NCc3ccccc3)c2)cc1,LUYCLSKIFGYZQS,30.9,tdc_hep
CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,PQAPVTKIEGUPRN,3.0,tdc_hep
CC(C)c1nc2ccc(-c3ccc(F)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,MGZJKYTZNDZWJI,29.51,tdc_hep
CC(C)c1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(OC3CN(C4CCS(=O)(=O)CC4)C3)n(C)c2n1,XRLOEZGWBZHADC,10.0,tdc_hep
CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,UACOXBQBNWQWOK,3.0,tdc_hep
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,FJLGEFLZQAZZCD,3.0,tdc_hep
CC(CCc1cccc(OCc2ccc3ccccc3n2)c1)CC(=O)O,XEIIXTAJMRZBKQ,104.71,tdc_hep
CC(CO)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,OPZDQVDVMCTOPA,5.96,tdc_hep
CC(NC(=O)c1cc(O)nc2ccccc12)c1ccccc1,BRQMAAYTTNWYKP,5.25,tdc_hep
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,SNPPWIUOZRMYNY,44.71,tdc_hep
CC(c1cc2ccccc2s1)N(O)C(N)=O,MWLSOWXNZPKENC,7.76,tdc_hep
CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,SCVIEONTACSLJA,62.065000000000005,tdc_hep
CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,HJQQVNIORAQATK,107.15,tdc_hep
CC1(C)C(=O)Nc2ccccc21,KEZHRKOVLKUYCQ,3.0,tdc_hep
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,JLYAXFNOILIKPP,9.77,tdc_hep
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,FPPNZSSZRUTDAP,3.39,tdc_hep
CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)N1CCN(c3ccc(C#N)cn3)CC1)C(=O)C2,KGOUMVFYXYCYPF,150.0,tdc_hep
CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)N1CCN(c3ccc(C(F)(F)F)cn3)CC1)C(=O)C2,BYVPYJYHCMIHMK,141.0,tdc_hep
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,FKENQMMABCRJMK,3.0,tdc_hep
CC1(C)[C@H](NC(=O)/C(=N\OCc2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,KLFSEZJCLYBFKQ,7.24,tdc_hep
CC1(CCCc2cc(=O)oc3[nH]c(=O)[nH]c(=O)c23)CC1,ARJKMWXLIHZLQZ,22.83,tdc_hep
CC1(COc2cc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)ccc2NC(=O)CN2CCOCC2)COC1,ZNRCBKKFSNMJEK,95.5,tdc_hep
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,BOEGTKLJZSQCCD,3.0,tdc_hep
CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,ZBVKEHDGYSLCCC,85.0,tdc_hep
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,BLUAFEHZUWYNDE,18.2,tdc_hep
CC1CN(S(=O)(=O)c2ccccc2)CCN1Cc1cc(Cl)ccc1OCC(=O)O,KQVTZYFUHDWJOQ,7.0,tdc_hep
CC1CNC(Nc2c(Cl)cccc2Cl)=N1,ITKQNORKNISIMB,3.0,tdc_hep
CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,WHWDLTBBQLJYCJ,3.0,tdc_hep
CC1Sc2c(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc3n21,SUXQDLLXIBLQHW,3.0,tdc_hep
CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,TXUZVZSFRXZGTL,56.23,tdc_hep
CCC(=O)NC(c1cccs1)c1cc(Cl)c2cccnc2c1O,YTYAAHOPRAVKJV,150.0,tdc_hep
CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,YNFDIGJKJPNFFD,6.08,tdc_hep
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,WMWTYOKRWGGJOA,128.575,tdc_hep
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,XWLXKKNPFMNSFA,46.28,tdc_hep
CCC(C)(C)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,OOIGDEFCNHECCO,117.49,tdc_hep
CCC(C)(CC)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Br)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,KOUBAHNTPUBTSW,69.18,tdc_hep
CCC(C)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,WFJBUKXLKMXFQU,17.32,tdc_hep
CCC(CC)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,UYBHFPHFNCWVMH,36.31,tdc_hep
CCC(CC)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,ZTQBRVRSKFXKGM,8.245000000000001,tdc_hep
CCC(CC)NC(=O)c1c(C)nn(C(C)C)c1NS(=O)(=O)c1ccc(C)cc1,ZKZJIFSDWOCTFN,59.87,tdc_hep
CCC(CC)NC(=O)c1cn(-c2ccccc2)nc1NS(=O)(=O)c1ccc(C)cc1,QZDKZPDCVTYPII,7.0,tdc_hep
CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)C1CCCC1,DIYQHXAHSSLPHW,5.29,tdc_hep
CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1,JTNZAVDOINZQTL,52.0,tdc_hep
CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,URRMAIUCAFIYAR,47.91,tdc_hep
CCC(CC)NC(=O)c1cnn(-c2ccccc2Cl)c1NS(=O)(=O)c1ccc(C)cc1,GZGDVCWRIYBOCH,56.0,tdc_hep
CCC(CC)NC(=O)c1cnn(-c2ccccn2)c1NS(=O)(=O)c1ccc(C)cc1,JESJFQSTKPDBFW,9.95,tdc_hep
CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c1ccc(C)cc1,OZIJOODQXPEDBJ,27.0,tdc_hep
CCC(CC)NC(=O)c1cnn(Cc2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,VAHWUGMTTGPDQF,12.0,tdc_hep
CCC(CC)NC(=O)c1nnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,ZAEOSRJQGLBEGF,56.0,tdc_hep
CCC(CC)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c1ccc(C)cc1,OJRNTTNUFPSZAN,15.0,tdc_hep
CCC(NC(=O)Nc1cc(Cl)ccc1Cl)(C(F)(F)F)C(F)(F)F,ZNYNDFGLQBTAEQ,22.91,tdc_hep
CCC1(C2=NCCN2)Cc2ccccc2O1,RATZLMXRALDSJW,3.0,tdc_hep
CCC1(CCC(C)C)C(=O)N=C(O)NC1=O,VIROVYVQCGLCII,11.75,tdc_hep
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,WIGIZIANZCJQQY,23.2,tdc_hep
CCCC(=O)Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1,RBHNFGMGFJHNPX,81.0,tdc_hep
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,GOEMGAFJFRBGGG,6.92,tdc_hep
CCCC(C)(C)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,SMNMCDQPRMFQFA,52.48,tdc_hep
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,ACWBQPMHZXGDFX,3.0,tdc_hep
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,YOSHYTLCDANDAN,9.74,tdc_hep
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,VYMDGNCVAMGZFE,8.71,tdc_hep
CCCCCCCC(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,VHOFITDOTQCUGG,3.0,tdc_hep
CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O,AOWRGXHRQTTYNC,3.0,tdc_hep
CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,XXAZJKMYPKQNBI,3.0,tdc_hep
CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H](C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,VMJRKKZSPJEFBH,3.0,tdc_hep
CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,AARYSIUAUNDLAU,3.0,tdc_hep
CCCCC[C@H](c1ccc(C(=O)O)c(Oc2cccc(Br)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,NBIFTJOTVIZGJA,30.2,tdc_hep
CCCCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,HYUZZQZAVMPKLP,87.96000000000001,tdc_hep
CCCCN(CCNC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,SEPMRQHFLHXBBG,150.0,tdc_hep
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,JLRGJRBPOGGCBT,6.46,tdc_hep
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,DKSKRBVXRDGYAS,3.0,tdc_hep
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,MAEIEVLCKWDQJH,144.54,tdc_hep
CCCCOc1nc(N)c2[nH]c(=O)n(Cc3cccc(CC(=O)O)c3)c2n1,SJNDRKWPSCLZAX,3.0,tdc_hep
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IYIKLHRQXLHMJQ,11.0,tdc_hep
CCCCn1c(SCC(=O)Nc2cc(C)on2)nnc1-c1ccco1,OOLSPIQZXSSQLL,150.0,tdc_hep
CCCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,SEVGGLORRBRKBR,107.0,tdc_hep
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,ZKMNUMMKYBVTFN,15.49,tdc_hep
CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,LYAULIIFPDSAKW,28.975,tdc_hep
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK,38.02,tdc_hep
CCCS(=O)(=O)N1N=Cc2cc(Cl)ccc2B1O,NTOLEUDARGTNNY,3.0,tdc_hep
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,GPXBXXGIAQBQNI,6.61,tdc_hep
CCCSc1c(C(=O)NC2CCCCC2)cnn1-c1cccc(C(=O)O)c1,BDZUZNJQNGZOIM,16.98,tdc_hep
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,HXHWSAZORRCQMX,47.885000000000005,tdc_hep
CCC[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)CCCc1ccc(OC)cc1,VVVQUPAWRFBZMZ,23.99,tdc_hep
CCC[C@H](CO)Nc1nc(S[C@@H](C)c2cccc(C#N)c2)nc2[nH]c(=O)sc12,COQNFUICOUPODA,22.39,tdc_hep
CCC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,SZXBYKZAJAJDDC,10.0,tdc_hep
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,RMMXLENWKUUMAY,3.98,tdc_hep
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(F)c2)CC1,SCXSQUUTGCWHFU,5.79,tdc_hep
CCN(C(=O)c1ccc(-c2ccc(Cl)cc2)o1)c1ccc(N2CCNCC2)cc1,ZQXYAXCRCBTDIH,3.0,tdc_hep
CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1,RVIAYIHTJMJVOV,22.25,tdc_hep
